protein_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDARP00000000004	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000042	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000069	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000070	0	2	0	0	0	0	0	0	3	0	6	1
ENSDARP00000000087	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000160	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000192	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000198	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000221	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000280	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000382	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000392	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000486	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000488	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000618	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000665	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000748	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARP00000000803	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000854	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000920	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000952	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000956	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000966	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000979	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000000985	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001039	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001051	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001119	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001151	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001156	0	0	0	0	0	1	0	0	0	0	0	0
ENSDARP00000001158	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001187	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001208	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001220	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001240	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001256	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001281	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001284	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001288	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001291	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARP00000001315	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001346	0	0	2	1	0	0	0	0	0	0	0	0
ENSDARP00000001363	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001399	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001459	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001478	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001565	0	0	1	0	1	0	1	0	0	0	0	0
ENSDARP00000001617	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001793	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001807	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001845	0	0	0	0	0	0	0	0	0	0	0	1
ENSDARP00000001911	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001943	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001953	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARP00000001968	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000001971	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002005	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARP00000002041	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002061	0	0	0	0	0	0	0	0	0	2	0	0
ENSDARP00000002079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002102	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002107	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002108	0	1	1	1	0	0	0	0	0	0	0	0
ENSDARP00000002111	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002120	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002122	0	1	1	1	1	0	0	0	1	0	0	0
ENSDARP00000002125	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002127	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002154	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARP00000002156	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002173	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002175	0	0	4	3	2	0	0	0	0	0	0	0
ENSDARP00000002180	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002195	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002199	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002223	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002225	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002234	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002236	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002260	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002263	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002264	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002269	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002286	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002292	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002313	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002330	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002331	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002357	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002360	1	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002367	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002411	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002420	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002431	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002432	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002435	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002437	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002450	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002453	0	0	1	0	2	2	0	0	0	0	0	0
ENSDARP00000002460	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARP00000002466	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002468	1	0	0	0	0	0	1	0	1	0	0	0
ENSDARP00000002470	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002476	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002483	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002502	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARP00000002507	0	0	0	0	0	0	0	0	0	0	0	0
