transcript_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDART00000000004	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000042	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000069	0	0	0	0	1	0	0	0	0	0	0	0
ENSDART00000000070	0	2	0	0	1	0	0	0	4	1	6	2
ENSDART00000000087	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000160	0	0	1	0	0	0	1	0	0	0	0	0
ENSDART00000000192	0	0	4	0	0	0	0	0	0	0	0	0
ENSDART00000000198	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000221	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000250	0	0	2	1	0	0	0	0	1	0	0	0
ENSDART00000000280	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000382	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000392	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000486	0	1	0	0	4	1	0	0	0	0	0	0
ENSDART00000000488	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000552	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000564	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000566	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000670	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000678	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000693	0	0	0	0	0	1	0	0	0	0	0	0
ENSDART00000000698	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000744	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000804	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000831	0	1	1	0	1	0	0	0	0	0	0	0
ENSDART00000000876	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000877	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000887	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000000948	0	0	1	1	0	0	0	0	0	0	0	0
ENSDART00000000992	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001053	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001092	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001102	0	0	1	0	0	0	0	0	0	0	0	0
ENSDART00000001148	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001159	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001201	0	0	2	1	0	0	0	0	0	0	0	0
ENSDART00000001253	0	0	0	0	2	0	0	0	0	0	0	0
ENSDART00000001313	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001318	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001331	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001359	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001376	0	0	1	0	0	0	0	0	0	0	1	0
ENSDART00000001424	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001444	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001649	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001678	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001691	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001737	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001755	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001795	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001803	0	0	1	0	0	0	0	0	0	0	0	0
ENSDART00000001805	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001821	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001830	0	0	2	0	2	0	1	0	1	0	0	0
ENSDART00000001861	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001907	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000001930	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002027	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002029	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002046	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002053	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002055	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002075	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002078	0	0	0	0	1	0	0	0	0	0	0	0
ENSDART00000002094	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002095	0	0	0	0	1	0	0	0	0	0	0	0
ENSDART00000002096	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002128	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002164	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000002166	0	0	0	0	0	0	0	0	0	0	0	0
