transcript_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDART00000004476	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000006954	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000007434	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000007957	0	1	4	3	8	2	2	2	5	2	3	1
ENSDART00000008841	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000011344	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000012627	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000013057	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000013798	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000015021	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000015262	0	0	0	0	1	0	0	0	0	0	0	0
ENSDART00000016672	0	0	0	0	1	0	0	0	0	0	0	0
ENSDART00000018822	1	3	13	1	16	3	4	0	7	2	11	4
ENSDART00000019858	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000020568	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000021168	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000021692	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000022163	0	0	2	0	0	1	0	0	0	0	0	0
ENSDART00000022187	0	0	0	0	0	0	0	0	1	0	0	0
ENSDART00000022579	0	2	3	0	0	1	0	0	0	0	0	0
ENSDART00000023580	0	0	0	0	0	1	0	0	0	0	0	0
ENSDART00000030009	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000031108	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000031616	0	0	0	0	0	0	0	0	0	0	1	0
ENSDART00000037080	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000037692	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000038896	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000039955	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000039968	1	1	0	0	0	1	0	1	0	0	0	0
ENSDART00000040601	0	0	0	0	0	0	0	0	0	0	0	0
