gene_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDARG00000005593	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000009079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000012581	0	0	0	0	1	0	0	0	1	0	0	0
ENSDARG00000023609	0	3	2	0	0	0	0	0	0	0	0	0
ENSDARG00000033089	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000034229	0	0	2	0	1	0	0	0	0	0	0	0
ENSDARG00000036044	0	7	21	7	19	3	12	3	21	6	41	22
ENSDARG00000038009	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000038570	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000039423	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000040200	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040703	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041007	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000043232	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000044129	0	1	1	1	0	0	0	0	0	0	0	0
ENSDARG00000044235	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000044326	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000052411	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000052528	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000052609	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000052693	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000052873	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053387	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053570	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053731	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000054882	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000056245	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000057148	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000057403	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000059196	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063300	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000068085	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000068484	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000068792	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000068945	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000069404	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000069839	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070039	0	0	0	0	0	0	0	0	0	0	0	0
