transcript_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDART00000115436	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115437	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115444	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115476	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115487	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115491	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115508	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115528	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115538	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115540	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115551	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115562	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115566	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115584	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115589	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115610	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115614	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115638	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115672	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115708	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115710	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115716	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115745	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115747	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115760	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115762	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115778	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115780	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115803	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115832	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115834	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115876	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115879	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115891	24	80	378	109	407	135	8	3	31	36	10	8
ENSDART00000115893	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115899	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115917	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115938	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115952	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115981	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116019	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116040	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116049	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116051	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116087	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116131	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116156	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116159	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116175	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116198	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116199	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116211	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116217	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116231	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116235	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116255	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116295	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116301	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116349	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116358	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116381	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116407	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116443	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116444	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116460	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116493	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116498	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116510	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116531	0	0	0	0	0	0	0	0	0	0	0	0
