2019-10-23 21:49:01.273895 [guppy/message] ONT Guppy barcoding software version 3.1.5+781ed57
input path:         ZF_RNAseq2/20191016_1725_MN29188_FAL00250_8ddf8bfb/fastq_pass/
save path:          demux
arrangement files:  barcode_arrs_pcr12.cfg 
min. score front:   60
min. score rear:    60

2019-10-23 21:49:01.275343 [guppy/message] Found 18 fastq files.
2019-10-23 21:49:01.276763 [guppy/info] Starting input file ZF_RNAseq2/20191016_1725_MN29188_FAL00250_8ddf8bfb/fastq_pass/FAL00250_4f4aada9bcd3fe9b22344ad0f11e8d8dd3b2315f_2.fastq.gz
2019-10-23 21:49:01.384444 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 99

2019-10-23 21:49:01.397658 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -37 Sequence length: 66

2019-10-23 21:49:01.426370 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 98

2019-10-23 21:49:01.487405 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -12 Sequence length: 92

2019-10-23 21:49:01.545621 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 96

2019-10-23 21:49:01.584140 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 96

2019-10-23 21:49:01.633700 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 95

2019-10-23 21:49:01.641233 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 101

2019-10-23 21:49:01.645271 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 100

2019-10-23 21:49:01.687325 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -11 Sequence length: 93

2019-10-23 21:49:01.768082 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 101

2019-10-23 21:49:01.791447 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 87

2019-10-23 21:49:01.833024 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 88

2019-10-23 21:49:01.835848 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 101

2019-10-23 21:49:01.889468 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 96

2019-10-23 21:49:01.910120 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 92

2019-10-23 21:49:01.961928 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -30 Sequence length: 70

2019-10-23 21:49:02.109594 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 100

2019-10-23 21:49:02.121643 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -22 Sequence length: 76

2019-10-23 21:49:02.155591 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 102

2019-10-23 21:49:02.221506 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 93

2019-10-23 21:49:02.238675 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 67

2019-10-23 21:49:02.244465 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 97

2019-10-23 21:49:02.262726 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 93

2019-10-23 21:49:02.263893 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -38 Sequence length: 65

2019-10-23 21:49:02.272931 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -18 Sequence length: 79

2019-10-23 21:49:02.312112 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -31 Sequence length: 68

2019-10-23 21:49:02.347680 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -12 Sequence length: 89

2019-10-23 21:49:02.361825 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -18 Sequence length: 86

2019-10-23 21:49:02.412536 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 86

2019-10-23 21:49:02.421816 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -12 Sequence length: 89

2019-10-23 21:49:02.474872 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 98

2019-10-23 21:49:02.507709 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -31 Sequence length: 70

2019-10-23 21:49:02.544175 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -11 Sequence length: 91

2019-10-23 21:49:02.568414 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 94

2019-10-23 21:49:02.636232 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 92

2019-10-23 21:49:02.661646 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 101

2019-10-23 21:49:02.676111 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 97

2019-10-23 21:49:02.686228 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 94

2019-10-23 21:49:02.751446 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -10 Sequence length: 90

2019-10-23 21:49:02.767214 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -15 Sequence length: 85

2019-10-23 21:49:02.784628 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -36 Sequence length: 66

2019-10-23 21:49:02.791681 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 98

2019-10-23 21:49:02.815260 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -20 Sequence length: 85

2019-10-23 21:49:02.831378 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 68

2019-10-23 21:49:02.852266 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 99

2019-10-23 21:49:02.872063 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -32 Sequence length: 69

2019-10-23 21:49:02.956712 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -50 Sequence length: 53

2019-10-23 21:49:02.983350 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 83

2019-10-23 21:49:03.013205 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -22 Sequence length: 83

2019-10-23 21:49:03.040838 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 99

2019-10-23 21:49:03.051376 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -21 Sequence length: 81

2019-10-23 21:49:03.137670 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -36 Sequence length: 67

2019-10-23 21:49:03.138036 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 95

2019-10-23 21:49:03.174851 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -24 Sequence length: 78

2019-10-23 21:49:03.215250 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 67

2019-10-23 21:49:03.235708 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 93

2019-10-23 21:49:03.249888 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 102

2019-10-23 21:49:03.269151 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 95

2019-10-23 21:49:03.334902 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 95

2019-10-23 21:49:03.357001 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 101

2019-10-23 21:49:03.585431 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -38 Sequence length: 63

2019-10-23 21:49:03.610930 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 95

2019-10-23 21:49:03.768658 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 86

2019-10-23 21:49:03.823796 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 82

2019-10-23 21:49:03.847299 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -12 Sequence length: 92

2019-10-23 21:49:03.852678 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 85

2019-10-23 21:49:03.904091 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -15 Sequence length: 88

2019-10-23 21:49:03.933612 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 67

2019-10-23 21:49:03.939920 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 99

2019-10-23 21:49:03.966434 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 88

2019-10-23 21:49:03.986574 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 98

2019-10-23 21:49:03.990101 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -32 Sequence length: 71

2019-10-23 21:49:04.000290 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 90

2019-10-23 21:49:04.030039 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -37 Sequence length: 64

2019-10-23 21:49:04.032979 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -30 Sequence length: 71

2019-10-23 21:49:04.050560 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 92

2019-10-23 21:49:04.150639 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -14 Sequence length: 90

2019-10-23 21:49:04.181344 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 98

2019-10-23 21:49:04.191747 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -24 Sequence length: 77

2019-10-23 21:49:04.199844 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 100

2019-10-23 21:49:04.208105 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 98

2019-10-23 21:49:04.231828 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -39 Sequence length: 61

2019-10-23 21:49:04.241486 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 95

2019-10-23 21:49:04.277966 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 81

2019-10-23 21:49:04.286387 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -29 Sequence length: 71

2019-10-23 21:49:04.379483 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -26 Sequence length: 76

2019-10-23 21:49:04.404802 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -18 Sequence length: 85

2019-10-23 21:49:04.514158 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 89

2019-10-23 21:49:04.550595 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -39 Sequence length: 65

2019-10-23 21:49:04.555824 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -35 Sequence length: 67

2019-10-23 21:49:04.590335 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 100

2019-10-23 21:49:04.636474 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -39 Sequence length: 63

2019-10-23 21:49:04.638319 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -23 Sequence length: 80

2019-10-23 21:49:04.721509 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 96

2019-10-23 21:49:04.795070 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 100

2019-10-23 21:49:04.834241 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -23 Sequence length: 78

2019-10-23 21:49:04.839224 [guppy/info] Successfully finished input file ZF_RNAseq2/20191016_1725_MN29188_FAL00250_8ddf8bfb/fastq_pass/FAL00250_4f4aada9bcd3fe9b22344ad0f11e8d8dd3b2315f_2.fastq.gz (10000 reads)
2019-10-23 21:49:04.840168 [guppy/info] Starting input file ZF_RNAseq2/20191016_1725_MN29188_FAL00250_8ddf8bfb/fastq_pass/FAL00250_4f4aada9bcd3fe9b22344ad0f11e8d8dd3b2315f_10.fastq.gz
2019-10-23 21:49:04.884542 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 100

2019-10-23 21:49:04.886657 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 98

2019-10-23 21:49:04.898611 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 92

2019-10-23 21:49:04.929332 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 97

2019-10-23 21:49:04.978987 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -25 Sequence length: 79

2019-10-23 21:49:04.985318 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 81

2019-10-23 21:49:04.985646 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -10 Sequence length: 90

2019-10-23 21:49:05.007404 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -14 Sequence length: 89

2019-10-23 21:49:05.017040 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 95

2019-10-23 21:49:05.038764 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 99

2019-10-23 21:49:05.045249 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -23 Sequence length: 77

2019-10-23 21:49:05.077416 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 85

2019-10-23 21:49:05.106627 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -21 Sequence length: 84

2019-10-23 21:49:05.134285 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 97

2019-10-23 21:49:05.152044 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -30 Sequence length: 73

2019-10-23 21:49:05.177989 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -25 Sequence length: 78

2019-10-23 21:49:05.198022 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 98

2019-10-23 21:49:05.200494 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 101

2019-10-23 21:49:05.202167 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 99

2019-10-23 21:49:05.217370 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 96

2019-10-23 21:49:05.310874 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -14 Sequence length: 87

2019-10-23 21:49:05.338626 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 99

2019-10-23 21:49:05.349417 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -31 Sequence length: 69

2019-10-23 21:49:05.354557 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -23 Sequence length: 83

2019-10-23 21:49:05.367774 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -26 Sequence length: 73

2019-10-23 21:49:05.372722 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -15 Sequence length: 84

2019-10-23 21:49:05.386165 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -51 Sequence length: 55

2019-10-23 21:49:05.404011 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -24 Sequence length: 77

2019-10-23 21:49:05.460768 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 102

2019-10-23 21:49:05.476442 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -28 Sequence length: 76

2019-10-23 21:49:05.482968 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -10 Sequence length: 90

2019-10-23 21:49:05.486796 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -30 Sequence length: 70

2019-10-23 21:49:05.491199 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 86

2019-10-23 21:49:05.514523 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -45 Sequence length: 56

2019-10-23 21:49:05.531690 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -36 Sequence length: 68

2019-10-23 21:49:05.546199 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 97

2019-10-23 21:49:05.553267 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -24 Sequence length: 79

2019-10-23 21:49:05.575665 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 97

2019-10-23 21:49:05.578557 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -24 Sequence length: 80

2019-10-23 21:49:05.582350 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 99

2019-10-23 21:49:05.593111 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -17 Sequence length: 84

2019-10-23 21:49:05.618581 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -33 Sequence length: 69

2019-10-23 21:49:05.642899 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 100

2019-10-23 21:49:05.662192 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -22 Sequence length: 82

