# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/inesbatista/Documents/MASTER/GENOME/Danio_rerio.GRCz11.100.gtf" "-F" "GTF" "-t" "transcript" "-g" "gene_id" "-o" "/home/inesbatista/Documents/MASTER/featureCountsOUT/2020_08_07_danRer11ensembl/V3/transcript.txt" "ZF-B-1_1-Run1.bam" "ZF-B-1_1-Run2.bam" "ZF-B-2_2-Run1.bam" "ZF-B-2_2-Run2.bam" "ZF-B-3_3-Run1.bam" "ZF-B-3_3-Run2.bam" "ZF-I-1_1-Run1.bam" "ZF-I-1_1-Run2.bam" "ZF-I-2_2-Run1.bam" "ZF-I-2_2-Run2.bam" "ZF-I-3_3-Run1.bam" "ZF-I-3_3-Run2.bam" 
Geneid	Chr	Start	End	Strand	Length	ZF-B-1_1-Run1.bam	ZF-B-1_1-Run2.bam	ZF-B-2_2-Run1.bam	ZF-B-2_2-Run2.bam	ZF-B-3_3-Run1.bam	ZF-B-3_3-Run2.bam	ZF-I-1_1-Run1.bam	ZF-I-1_1-Run2.bam	ZF-I-2_2-Run1.bam	ZF-I-2_2-Run2.bam	ZF-I-3_3-Run1.bam	ZF-I-3_3-Run2.bam
ENSDARG00000102141	4	17308	18211	-	904	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102123	4	31259	45642	+	14384	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000114503	4;4;4	38344;38344;41602	45396;45396;45396	+;+;+	7053	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000115971	4;4	48519;49992	53370;53370	-;-	4852	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098311	4	57034	64703	-	7670	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104839	4	69619	72011	+	2393	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100143	4	90048	100007	+	9960	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102474	4	107287	119689	-	12403	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104049	4;4	121709;121786	124802;125402	+;+	3694	0	0	3	0	2	0	0	0	0	0	0	0
ENSDARG00000102226	4	128697	133492	-	4796	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103095	4	134412	149334	-	14923	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102128	4;4	151506;152057	178510;170120	-;-	27005	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000110470	4;4;4	184863;184863;184863	193762;191736;191736	-;-;-	8900	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000100422	4	190547	211714	-	21168	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104632	4	233812	240737	-	6926	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100660	4	269443	277081	-	7639	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000113107	4	279669	282860	+	3192	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099787	4	286425	287425	-	1001	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000112451	4	288633	292031	+	3399	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070546	4	306036	308006	+	1971	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045914	4;4;4;4	308688;308697;308702;308707	317082;316836;314933;317971	+;+;+;+	9284	0	0	2	1	0	0	0	0	0	0	0	0
ENSDARG00000045913	4;4	325028;329771	330748;330713	-;-	5721	0	0	1	0	1	0	0	0	0	0	0	0
ENSDARG00000045911	4;4	331351;332709	353924;353924	+;+	22574	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045910	4;4;4;4	357810;357810;357825;359970	362805;386168;385796;367982	+;+;+;+	28359	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000045909	4;4	386435;387143	390442;390431	-;-	4008	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025073	4;4	391297;391376	398451;397924	+;+	7155	0	2	23	6	16	5	9	4	5	3	14	5
ENSDARG00000084828	4	393766	393902	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095951	4	400376	401850	+	1475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093924	4	402626	499946	+	97321	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000108269	4	419659	419774	+	116	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	4	554267	554384	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	4;4	612363;613442	626550;625814	+;+	14188	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099652	4	646154	675427	+	29274	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000101047	4;4;4	676710;682961;683052	685412;685433;685419	-;-;-	8724	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000102104	4	681501	683465	+	1965	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099833	4	686157	700697	+	14541	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103870	4	701612	734347	-	32736	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000096118	4	736395	737520	+	1126	1	0	10	4	7	0	2	0	2	0	7	1
ENSDARG00000045900	4;4	737539;751290	760560;753073	-;-	23022	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000016968	4;4;4;4	764100;764396;769043;771352	779796;769820;769631;772392	-;-;-;-	15697	0	0	1	0	1	1	0	0	0	0	0	0
ENSDARG00000102878	4;4;4	783644;785302;787066	797858;789645;797831	-;-;-	14215	0	0	2	0	1	0	0	0	0	1	0	0
ENSDARG00000059311	4;4	798696;804147	815871;808453	-;-	17176	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000017386	4;4;4	818928;823398;823404	837819;858434;837768	-;-;-	39507	0	0	0	2	0	0	0	0	0	0	0	0
ENSDARG00000045898	4	842010	845033	+	3024	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006060	4;4	861444;862048	880415;890220	-;-	28777	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000113105	4	892959	928212	+	35254	0	0	0	1	0	0	0	0	0	0	0	0
ENSDARG00000103050	4	905483	908821	-	3339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070535	4	912563	914738	+	2176	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000013789	4;4	929557;937229	948776;948842	-;-	19286	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063686	4	958051	965267	-	7217	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000087962	4	966061	983242	+	17182	0	0	0	1	0	0	0	0	0	0	0	0
ENSDARG00000099313	4;4;4;4	982028;985960;985970;985976	991043;992148;992103;992063	-;-;-;-	10121	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103102	4	1014548	1015896	-	1349	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104018	4	1054708	1068155	-	13448	0	0	5	0	6	0	0	0	0	0	0	0
ENSDARG00000102157	4	1103158	1147655	-	44498	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098612	4;4	1146346;1283068	1284672;1284672	+;+	138327	0	1	3	1	1	1	1	0	0	0	0	0
ENSDARG00000100898	4	1191527	1191644	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	4;4	1301436;1303337	1360495;1324141	-;-	59060	0	2	6	2	4	2	1	0	1	0	1	0
ENSDARG00000111388	4	1388965	1403077	-	14113	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025601	4	1461079	1466395	+	5317	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063672	4	1469106	1497384	-	28279	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000018149	4;4;4	1516716;1530287;1530287	1538663;1539800;1566572	+;+;+	49857	0	0	1	0	0	0	0	0	1	0	0	0
ENSDARG00000095920	4	1576889	1593127	+	16239	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045886	4;4;4	1600034;1605666;1613617	1617897;1611213;1614929	+;+;+	17864	1	1	5	1	2	1	1	0	0	0	0	0
ENSDARG00000045885	4;4	1619584;1620102	1640356;1643101	+;+	23518	0	0	0	0	2	0	1	0	0	0	0	0
ENSDARG00000007413	4;4	1647098;1648052	1684335;1684347	-;-	37250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000097341	4	1685021	1685345	+	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045880	4	1689312	1720648	-	31337	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000009657	4;4	1722899;1722903	1730920;1725794	+;+	8022	0	1	0	0	1	0	0	0	0	0	0	0
ENSDARG00000093658	4	1732825	1757460	-	24636	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000026839	4	1757462	1759555	+	2094	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000016979	4;4;4	1761029;1764051;1765501	1771308;1766879;1769004	+;+;+	10280	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000070477	4;4	1766333;1771066	1785120;1776352	-;-	18788	0	0	0	1	0	1	0	0	0	0	0	0
ENSDARG00000045878	4;4	1788748;1801199	1801519;1801619	-;-	12872	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045877	4	1809562	1818315	-	8754	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000079391	4	1821637	1824836	-	3200	1	0	1	0	4	0	0	0	0	0	0	0
ENSDARG00000015921	4;4;4	1825839;1827012;1831738	1839352;1839192;1839164	-;-;-	13514	0	0	2	1	1	0	1	0	0	0	0	0
ENSDARG00000099520	4	1844336	1845156	+	821	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000061544	4;4	1878573;1880180	1908179;1914228	-;-	35656	0	0	0	1	0	0	0	0	0	0	0	0
