transcript_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDART00000115546	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000115812	0	2	14	5	10	4	0	0	2	0	0	0
ENSDART00000116044	0	0	3	1	3	0	0	0	0	0	0	0
ENSDART00000116146	0	0	2	0	0	0	0	0	0	0	0	0
ENSDART00000116162	0	0	2	0	3	1	0	0	0	0	0	0
ENSDART00000116461	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116525	1	2	60	13	26	3	2	0	2	0	3	0
ENSDART00000116552	0	0	1	0	1	0	0	0	1	0	0	0
ENSDART00000116751	0	0	4	2	3	0	0	0	0	0	0	0
ENSDART00000116823	0	0	10	1	11	2	1	0	4	1	1	1
ENSDART00000116869	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000116983	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000117281	0	2	33	6	22	4	1	0	4	0	0	0
ENSDART00000117438	0	1	1	0	0	0	0	0	0	0	0	0
ENSDART00000117474	1	13	53	18	42	10	5	0	4	2	5	2
ENSDART00000117687	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000118299	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000118316	0	2	35	4	23	4	2	0	2	0	1	0
ENSDART00000118615	1	1	24	6	17	0	0	1	0	0	0	0
ENSDART00000118668	10	36	190	53	307	61	24	5	28	38	48	36
ENSDART00000118697	5	15	117	30	129	19	6	0	19	5	9	5
ENSDART00000118969	0	1	3	1	1	0	0	0	0	0	0	0
__no_feature	1759	6046	27954	9194	27083	6127	10803	3556	17235	6794	19120	8580
__ambiguous	4	27	181	32	119	12	11	3	9	1	7	7
__too_low_aQual	1944	9728	27416	16334	40142	19288	7672	4797	39713	54080	14582	22223
__not_aligned	1116	2837	22706	6182	26115	8377	4724	1261	16461	25429	6575	8281
__alignment_not_unique	0	0	0	0	0	0	0	0	0	0	0	0
