# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/inesbatista/Documents/MASTER/GENOME/Danio_rerio.GRCz10.91.gtf" "-F" "GTF" "-t" "gene" "-g" "gene_id" "-o" "/home/inesbatista/Documents/MASTER/featureCountsOUT/2020_08_07_danRer10ensembl/V3/gene.txt" "ZF-B-1_1-Run1.bam" "ZF-B-1_1-Run2.bam" "ZF-B-2_2-Run1.bam" "ZF-B-2_2-Run2.bam" "ZF-B-3_3-Run1.bam" "ZF-B-3_3-Run2.bam" "ZF-I-1_1-Run1.bam" "ZF-I-1_1-Run2.bam" "ZF-I-2_2-Run1.bam" "ZF-I-2_2-Run2.bam" "ZF-I-3_3-Run1.bam" "ZF-I-3_3-Run2.bam" 
Geneid	Chr	Start	End	Strand	Length	ZF-B-1_1-Run1.bam	ZF-B-1_1-Run2.bam	ZF-B-2_2-Run1.bam	ZF-B-2_2-Run2.bam	ZF-B-3_3-Run1.bam	ZF-B-3_3-Run2.bam	ZF-I-1_1-Run1.bam	ZF-I-1_1-Run2.bam	ZF-I-2_2-Run1.bam	ZF-I-2_2-Run2.bam	ZF-I-3_3-Run1.bam	ZF-I-3_3-Run2.bam
ENSDARG00000104632	4	6732	52059	-	45328	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100660	4	16257	28189	+	11933	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098417	4	30383	34259	+	3877	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100422	4	57288	85736	+	28449	0	0	0	0	3	0	0	0	0	0	0	0
ENSDARG00000102128	4	90801	119267	+	28467	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103095	4	120072	135084	+	15013	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102226	4	135880	141154	+	5275	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104049	4	144009	147740	-	3732	0	0	3	0	2	0	0	0	0	0	0	0
ENSDARG00000102474	4	149700	334996	+	185297	1	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000100143	4	168033	195214	-	27182	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104839	4	196253	202858	-	6606	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104373	4	203199	205503	-	2305	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098311	4	207365	212746	+	5382	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102121	4	216043	223018	+	6976	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102123	4	223156	241528	-	18373	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102141	4	251201	252106	+	906	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105725	4	258369	264546	-	6178	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099787	4	272976	274054	-	1079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070546	4	292588	294558	+	1971	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045914	4	295240	304523	+	9284	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045913	4	311580	317300	-	5721	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045911	4	317903	340476	+	22574	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045910	4	344362	372720	+	28359	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000045909	4	372987	376994	-	4008	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025073	4	377849	385003	+	7155	0	2	23	6	16	5	9	4	5	3	14	5
ENSDARG00000084828	4	380318	380454	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084784	4	383213	383349	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095951	4	386928	388402	+	1475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093924	4	389178	486498	+	97321	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000108269	4	406211	406326	+	116	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	4	540819	540936	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000106668	4	564402	573628	+	9227	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	4	578216	613102	+	34887	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099652	4	632706	661979	+	29274	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000101047	4	663262	671985	-	8724	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000102104	4	668053	670017	+	1965	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099833	4	672709	687249	+	14541	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103870	4	688164	720899	-	32736	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107297	4	710382	719036	-	8655	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000096118	4	722947	724072	+	1126	1	0	10	4	7	0	2	0	2	0	7	1
ENSDARG00000045900	4	724091	747112	-	23022	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000016968	4	750652	766348	-	15697	0	0	1	0	1	1	0	0	0	0	0	0
ENSDARG00000102878	4	770196	784410	-	14215	0	0	2	0	1	0	0	0	0	1	0	0
ENSDARG00000059311	4	785248	802423	-	17176	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000017386	4	805480	824452	-	18973	0	0	0	2	0	0	0	0	0	0	0	0
ENSDARG00000045898	4	828562	831585	+	3024	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000006060	4	847996	885445	-	37450	0	0	0	1	1	0	0	0	0	0	0	0
ENSDARG00000103050	4	892035	895373	-	3339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104018	4	895549	1054707	-	159159	0	0	5	0	7	0	0	0	0	0	0	0
ENSDARG00000070535	4	899115	901290	+	2176	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000013789	4	913510	935496	-	21987	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063686	4	945169	952040	-	6872	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000087962	4	952638	969736	+	17099	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099313	4	972512	978700	-	6189	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103102	4	1000901	1006200	-	5300	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107902	4	1074082	1076739	+	2658	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102157	4	1089710	1134207	-	44498	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098612	4	1132898	1271224	+	138327	0	1	3	1	1	1	1	0	0	0	0	0
ENSDARG00000100898	4	1178079	1178196	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	4	1287988	1347047	-	59060	0	2	6	2	4	2	1	0	1	0	1	0
ENSDARG00000099129	4	1466013	1467049	-	1037	0	0	0	1	0	1	0	0	0	0	0	0
ENSDARG00000101813	4	1469444	1497032	-	27589	0	1	6	1	8	0	0	0	0	0	1	1
ENSDARG00000107640	4	1508750	1514085	-	5336	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000106927	4	1516109	1522413	-	6305	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107853	4	1527411	1530087	-	2677	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098551	4	1544820	1564628	-	19809	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025601	4	1612198	1616985	+	4788	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063672	4	1619906	1648034	-	28129	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000018149	4	1667403	1717259	+	49857	0	0	1	0	0	0	0	0	1	0	0	0
ENSDARG00000095920	4	1727576	1743814	+	16239	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045886	4	1750721	1768584	+	17864	1	1	5	1	2	1	1	0	0	0	0	0
ENSDARG00000045885	4	1769988	1792532	+	22545	0	0	0	0	2	0	1	0	0	0	0	0
ENSDARG00000007413	4	1797785	1835034	-	37250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000097341	4	1835708	1836032	+	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045880	4	1839999	1871335	-	31337	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000009657	4	1873586	1881607	+	8022	0	1	0	0	1	0	0	0	0	0	0	0
ENSDARG00000093658	4	1883512	1908147	-	24636	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000026839	4	1908149	1910242	+	2094	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000016979	4	1911716	1921995	+	10280	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000070477	4	1917335	1935997	-	18663	0	0	0	1	0	1	0	0	0	0	0	0
ENSDARG00000045878	4	1938043	1952493	-	14451	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000045877	4	1960249	1969002	-	8754	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000079391	4	1972324	1975523	-	3200	1	0	1	0	4	0	0	0	0	0	0	0
ENSDARG00000015921	4	1977699	1989879	-	12181	0	0	2	1	1	0	1	0	0	0	0	0
ENSDARG00000099520	4	1995023	1995843	+	821	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000061544	4	2027790	2065079	-	37290	0	0	0	1	0	0	0	0	0	0	0	0
